# Linux retry: still-missing fails from wave1/wave2
# product|build_ios|out_ios
iPhone8,2|15.7.1|15.0
iPhone8,2|14.8|14.0
iPhone7,1|12.5.7|12.5.7
iPhone7,2|12.5.7|12.5.7
iPhone6,1|12.5.7|12.5.7
iPhone6,2|12.5.7|12.5.7
iPod7,1|12.5.7|12.5.7
iPad6,11|15.7|15.0
iPad6,11|14.8|14.0
iPad6,11|13.6|13.7
iPad6,12|14.8|14.0
iPad6,12|13.6|13.7
iPad7,5|14.8|14.0
iPad7,5|13.6|13.7
iPad7,6|14.8|14.0
iPad7,6|13.6|13.7
iPad5,1|14.8|14.0
iPad5,2|14.8|14.0
iPad5,3|14.8|14.0
iPad5,3|13.6|13.7
iPad5,4|14.8|14.0
iPad5,4|13.6|13.7
iPad4,1|12.5.7|12.5.7
iPad4,2|12.5.7|12.5.7
iPad4,4|12.5.7|12.5.7
iPad4,5|12.5.7|12.5.7
iPad4,7|12.5.7|12.5.7
iPad4,8|12.5.7|12.5.7
